Parite,Date,Haftalık Bias,P-RR,RR,Session,Tradingview,W/L,Yön
EURUSD,30/01/2022,Bear,,-1,New York,https://www.tradingview.com/x/hwVRhkVU/,No,Short
EURUSD,08/02/2022,Bull,2,2,Other,https://www.tradingview.com/x/SGA6SpSj/,Yes,Long
EURUSD,10/03/2022,Bear,2.5,2.38,New York,https://www.tradingview.com/x/VzCrt7qF/,Yes,Short
EURUSD,02/03/2022,Bull,,-1,New York,https://www.tradingview.com/x/xfU8r133/,No,Long
EURUSD,01/01/2022,Bull,4,2.5,London,https://www.tradingview.com/x/BJGtPRq3/,Yes,Short
EURUSD,11/02/2022,Bull,,-1,London,https://www.tradingview.com/x/D6d4SWtn/,No,Long
EURUSD,04/02/2022,Bear,,-1,London,https://www.tradingview.com/x/bicjj7YM/,No,Short
EURUSD,01/01/2022,Bull,,-1,London,https://www.tradingview.com/x/Ie2rprR1/,No,Short
EURUSD,22/02/2022,Bull,3,2.45,London,https://www.tradingview.com/x/9toMUCky/,Yes,Long
EURUSD,01/01/2022,Bull,,-1,Other,https://www.tradingview.com/x/vZTfEQ8f/,No,Short
EURUSD,01/01/2022,Bull,1.5,-1,Other,https://www.tradingview.com/x/4fz3THRl/,No,Long
EURUSD,29/04/2022,Bear,2.7,2.7,New York,https://www.tradingview.com/x/Qwj9oTzP/,Yes,Short
EURUSD,17/02/2022,Bull,2.5,2.5,London,https://www.tradingview.com/x/EHwKjsw1/,Yes,Long
EURUSD,15/03/2022,Bear,4.5,2.9,London,https://www.tradingview.com/x/rrtIMfwp/,Yes,Short
EURUSD,16/03/2022,Bear,,-1,New York,https://www.tradingview.com/x/QFEMUWVA/,No,Short
EURUSD,31/03/2022,Bear,4.5,2.62,London,https://www.tradingview.com/x/rtyr1hMb/,Yes,Short
EURUSD,03/05/2022,Bear,2.7,2.09,New York,https://www.tradingview.com/x/qzfA7brr/,Yes,Short
EURUSD,01/01/2022,Bull,2.95,2.95,New York,https://www.tradingview.com/x/2OyvpxET/,Yes,Short
EURUSD,14/04/2022,Bear,2.35,2.35,New York,https://www.tradingview.com/x/JsdbOtVA/,Yes,Short
EURUSD,25/03/2022,Bear,2.15,2.15,New York,https://www.tradingview.com/x/j7AnKlvE/,Yes,Short
EURUSD,07/04/2022,Bear,2,2,New York,https://www.tradingview.com/x/DrcWF5va/,Yes,Short
EURUSD,11/04/2022,Bear,,-1,London,https://www.tradingview.com/x/O3gTOhcF/,No,Short
EURUSD,29/03/2022,Bear,1.5,-1,London,https://www.tradingview.com/x/IJbIoueb/,No,Short
EURUSD,20/04/2022,Bear,,-1,London,https://www.tradingview.com/x/VHs7q7KO/,No,Short
EURUSD,15/06/2022,Bear,2.74,2.74,London,https://www.tradingview.com/x/65s77fRa/,Yes,Short
EURUSD,28/09/2022,Bear,3,2.4,London,https://www.tradingview.com/x/h6TIuQmn/,Yes,Long
EURUSD,22/07/2022,Bear,3,2.42,New York,https://www.tradingview.com/x/cYQwl2R7/,Yes,Long
EURUSD,30/05/2022,Bull,,-1,London,https://www.tradingview.com/x/83CrdC9a/,No,Short
EURUSD,30/08/2022,Bear,1.8,1.8,New York,https://www.tradingview.com/x/jvQf6PnE/,Yes,Short
EURUSD,16/09/2022,Bear,2,2,New York,https://www.tradingview.com/x/ShMdn89E/,Yes,Long
EURUSD,29/06/2022,Bear,,-1,London,https://www.tradingview.com/x/WgZIxBbs/,No,Long
EURUSD,15/07/2022,Bear,,-1,New York,https://www.tradingview.com/x/66Xffj0e/,No,Short
EURUSD,30/06/2022,Bear,,-1,London,https://www.tradingview.com/x/iYKnLGQK/,No,Long
EURUSD,08/07/2022,Bear,,-1,London,https://www.tradingview.com/x/CdBtpIOc/,No,Long
EURUSD,18/07/2022,Bear,,-1,London,https://www.tradingview.com/x/lakPuoL2/,No,Short
EURUSD,16/09/2022,Bear,2,1.87,Other,https://www.tradingview.com/x/9njE7PIi/,Yes,Short
EURUSD,27/06/2022,Bear,,-1,New York,https://www.tradingview.com/x/J3n8cyQh/,No,Short
EURUSD,16/05/2022,Bear,2,2,New York,https://www.tradingview.com/x/6m0tmGuj/,Yes,Short
EURUSD,17/05/2022,Bear,,-1,London,https://www.tradingview.com/x/urg6meI7/,No,Short
EURUSD,23/08/2022,Bear,3.5,2.44,London,https://www.tradingview.com/x/E9rUBfjh/,Yes,Long
EURUSD,14/06/2022,Bear,2,2,London,https://www.tradingview.com/x/Hziao8Tn/,Yes,Long
EURUSD,05/05/2022,Bear,2.77,2.77,London,https://www.tradingview.com/x/vrhCT5rJ/,Yes,Short
EURUSD,28/07/2022,Bear,4,2,London,https://www.tradingview.com/x/efcdUkSh/,Yes,Short
EURUSD,29/07/2022,Bear,2.52,2.52,New York,https://www.tradingview.com/x/JiUZIGEo/,Yes,Short
EURUSD,31/08/2022,Bear,2.7,2,Other,https://www.tradingview.com/x/OmBQwmJ6/,Yes,Short
